instance,divisor,cost
5/prob5a/a/density_0.1.json,2,4416
5/prob5a/a/density_0.1.json,4,4416
5/prob5a/a/density_0.1.json,6,4416
5/prob5a/a/density_0.1.json,8,3941
5/prob5a/a/density_0.1.json,10,3941
5/prob5a/a/density_0.5.json,2,5833
5/prob5a/a/density_0.5.json,4,5833
5/prob5a/a/density_0.5.json,6,5833
5/prob5a/a/density_0.5.json,8,4670
5/prob5a/a/density_0.5.json,10,4670
5/prob5a/a/density_0.25.json,2,5833
5/prob5a/a/density_0.25.json,4,5833
5/prob5a/a/density_0.25.json,6,5833
5/prob5a/a/density_0.25.json,8,3597
5/prob5a/a/density_0.25.json,10,3597
5/prob5a/a/density_0.75.json,2,4626
5/prob5a/a/density_0.75.json,4,4626
5/prob5a/a/density_0.75.json,6,4626
5/prob5a/a/density_0.75.json,8,4888
5/prob5a/a/density_0.75.json,10,4888
5/prob5a/a/density_0.json,2,3585
5/prob5a/a/density_0.json,4,3585
5/prob5a/a/density_0.json,6,3585
5/prob5a/a/density_0.json,8,3941
5/prob5a/a/density_0.json,10,3941
5/prob5a/b/density_0.1.json,2,4416
5/prob5a/b/density_0.1.json,4,4416
5/prob5a/b/density_0.1.json,6,4416
5/prob5a/b/density_0.1.json,8,3941
5/prob5a/b/density_0.1.json,10,3941
5/prob5a/b/density_0.5.json,2,3964
5/prob5a/b/density_0.5.json,4,3964
5/prob5a/b/density_0.5.json,6,3964
5/prob5a/b/density_0.5.json,8,4667
5/prob5a/b/density_0.5.json,10,4667
5/prob5a/b/density_0.25.json,2,3716
5/prob5a/b/density_0.25.json,4,3716
5/prob5a/b/density_0.25.json,6,3716
5/prob5a/b/density_0.25.json,8,3873
5/prob5a/b/density_0.25.json,10,3873
5/prob5a/b/density_0.75.json,2,3964
5/prob5a/b/density_0.75.json,4,3964
5/prob5a/b/density_0.75.json,6,3964
5/prob5a/b/density_0.75.json,8,4722
5/prob5a/b/density_0.75.json,10,4722
5/prob5a/b/density_0.json,2,3585
5/prob5a/b/density_0.json,4,3585
5/prob5a/b/density_0.json,6,3585
5/prob5a/b/density_0.json,8,3941
5/prob5a/b/density_0.json,10,3941
5/prob5a/c/density_0.1.json,2,4359
5/prob5a/c/density_0.1.json,4,4359
5/prob5a/c/density_0.1.json,6,4359
5/prob5a/c/density_0.1.json,8,4387
5/prob5a/c/density_0.1.json,10,4387
5/prob5a/c/density_0.5.json,2,3700
5/prob5a/c/density_0.5.json,4,3700
5/prob5a/c/density_0.5.json,6,3700
5/prob5a/c/density_0.5.json,8,3700
5/prob5a/c/density_0.5.json,10,3700
5/prob5a/c/density_0.25.json,2,3689
5/prob5a/c/density_0.25.json,4,3689
5/prob5a/c/density_0.25.json,6,3689
5/prob5a/c/density_0.25.json,8,3689
5/prob5a/c/density_0.25.json,10,3689
5/prob5a/c/density_0.75.json,2,4506
5/prob5a/c/density_0.75.json,4,4506
5/prob5a/c/density_0.75.json,6,4506
5/prob5a/c/density_0.75.json,8,4506
5/prob5a/c/density_0.75.json,10,4506
5/prob5a/c/density_0.json,2,3585
5/prob5a/c/density_0.json,4,3585
5/prob5a/c/density_0.json,6,3585
5/prob5a/c/density_0.json,8,3941
5/prob5a/c/density_0.json,10,3941
5/prob5a/d/density_0.1.json,2,4416
5/prob5a/d/density_0.1.json,4,4416
5/prob5a/d/density_0.1.json,6,4416
5/prob5a/d/density_0.1.json,8,4671
5/prob5a/d/density_0.1.json,10,4671
5/prob5a/d/density_0.5.json,2,3964
5/prob5a/d/density_0.5.json,4,3964
5/prob5a/d/density_0.5.json,6,3964
5/prob5a/d/density_0.5.json,8,3964
5/prob5a/d/density_0.5.json,10,3964
5/prob5a/d/density_0.25.json,2,5277
5/prob5a/d/density_0.25.json,4,5277
5/prob5a/d/density_0.25.json,6,5277
5/prob5a/d/density_0.25.json,8,5277
5/prob5a/d/density_0.25.json,10,5277
5/prob5a/d/density_0.75.json,2,3964
5/prob5a/d/density_0.75.json,4,3964
5/prob5a/d/density_0.75.json,6,4775
5/prob5a/d/density_0.75.json,8,4775
5/prob5a/d/density_0.75.json,10,4775
5/prob5a/d/density_0.json,2,3585
5/prob5a/d/density_0.json,4,3585
5/prob5a/d/density_0.json,6,3585
5/prob5a/d/density_0.json,8,3941
5/prob5a/d/density_0.json,10,3941
5/prob5a/e/density_0.1.json,2,4748
5/prob5a/e/density_0.1.json,4,4748
5/prob5a/e/density_0.1.json,6,4748
5/prob5a/e/density_0.1.json,8,3689
5/prob5a/e/density_0.1.json,10,3689
5/prob5a/e/density_0.5.json,2,4702
5/prob5a/e/density_0.5.json,4,4702
5/prob5a/e/density_0.5.json,6,4969
5/prob5a/e/density_0.5.json,8,4969
5/prob5a/e/density_0.5.json,10,4969
5/prob5a/e/density_0.25.json,2,5614
5/prob5a/e/density_0.25.json,4,5614
5/prob5a/e/density_0.25.json,6,5614
5/prob5a/e/density_0.25.json,8,4670
5/prob5a/e/density_0.25.json,10,4670
5/prob5a/e/density_0.75.json,2,4743
5/prob5a/e/density_0.75.json,4,4743
5/prob5a/e/density_0.75.json,6,4969
5/prob5a/e/density_0.75.json,8,4969
5/prob5a/e/density_0.75.json,10,4969
5/prob5a/e/density_0.json,2,3585
5/prob5a/e/density_0.json,4,3585
5/prob5a/e/density_0.json,6,3585
5/prob5a/e/density_0.json,8,3941
5/prob5a/e/density_0.json,10,3941
5/prob5b/a/density_0.1.json,2,3804
5/prob5b/a/density_0.1.json,4,3834
5/prob5b/a/density_0.1.json,6,3834
5/prob5b/a/density_0.1.json,8,3667
5/prob5b/a/density_0.1.json,10,3667
5/prob5b/a/density_0.5.json,2,3844
5/prob5b/a/density_0.5.json,4,3844
5/prob5b/a/density_0.5.json,6,3844
5/prob5b/a/density_0.5.json,8,4139
5/prob5b/a/density_0.5.json,10,4139
5/prob5b/a/density_0.25.json,2,3844
5/prob5b/a/density_0.25.json,4,3844
5/prob5b/a/density_0.25.json,6,3844
5/prob5b/a/density_0.25.json,8,4139
5/prob5b/a/density_0.25.json,10,4139
5/prob5b/a/density_0.75.json,2,3844
5/prob5b/a/density_0.75.json,4,3677
5/prob5b/a/density_0.75.json,6,3677
5/prob5b/a/density_0.75.json,8,3930
5/prob5b/a/density_0.75.json,10,3930
5/prob5b/a/density_0.json,2,2565
5/prob5b/a/density_0.json,4,2734
5/prob5b/a/density_0.json,6,2734
5/prob5b/a/density_0.json,8,2734
5/prob5b/a/density_0.json,10,2734
5/prob5b/b/density_0.1.json,2,3804
5/prob5b/b/density_0.1.json,4,3834
5/prob5b/b/density_0.1.json,6,3834
5/prob5b/b/density_0.1.json,8,3667
5/prob5b/b/density_0.1.json,10,3667
5/prob5b/b/density_0.5.json,2,3913
5/prob5b/b/density_0.5.json,4,3913
5/prob5b/b/density_0.5.json,6,3913
5/prob5b/b/density_0.5.json,8,4139
5/prob5b/b/density_0.5.json,10,4139
5/prob5b/b/density_0.25.json,2,3913
5/prob5b/b/density_0.25.json,4,3913
5/prob5b/b/density_0.25.json,6,3913
5/prob5b/b/density_0.25.json,8,3667
5/prob5b/b/density_0.25.json,10,3667
