Instancia,%Inc,Numero iteracion,Costo de iteracion
/5/prob5a/a,0.1,0,6572
/5/prob5a/a,0.1,1,5025
/5/prob5a/a,0.1,2,4800
/5/prob5a/a,0.5,0,6572
/5/prob5a/a,0.5,1,5025
/5/prob5a/a,0.5,2,4800
/5/prob5a/a,0.25,0,6572
/5/prob5a/a,0.25,1,5025
/5/prob5a/a,0.25,2,4800
/5/prob5a/a,0.75,0,6572
/5/prob5a/a,0.75,1,5025
/5/prob5a/a,0.75,2,4800
/5/prob5a/a,0,0,6572
/5/prob5a/a,0,1,5025
/5/prob5a/a,0,2,4800
/5/prob5a/b,0.1,0,6572
/5/prob5a/b,0.1,1,5025
/5/prob5a/b,0.1,2,4800
/5/prob5a/b,0.5,0,6572
/5/prob5a/b,0.5,1,5025
/5/prob5a/b,0.5,2,4800
/5/prob5a/b,0.25,0,6572
/5/prob5a/b,0.25,1,5025
/5/prob5a/b,0.25,2,4800
/5/prob5a/b,0.75,0,6572
/5/prob5a/b,0.75,1,5025
/5/prob5a/b,0.75,2,4800
/5/prob5a/b,0,0,6572
/5/prob5a/b,0,1,5025
/5/prob5a/b,0,2,4800
/5/prob5a/c,0.1,0,6572
/5/prob5a/c,0.1,1,5025
/5/prob5a/c,0.1,2,4800
/5/prob5a/c,0.5,0,6572
/5/prob5a/c,0.5,1,5025
/5/prob5a/c,0.5,2,4800
/5/prob5a/c,0.25,0,6572
/5/prob5a/c,0.25,1,5025
/5/prob5a/c,0.25,2,4800
/5/prob5a/c,0.75,0,6572
/5/prob5a/c,0.75,1,5025
/5/prob5a/c,0.75,2,4800
/5/prob5a/c,0,0,6572
/5/prob5a/c,0,1,5025
/5/prob5a/c,0,2,4800
/5/prob5a/d,0.1,0,6572
/5/prob5a/d,0.1,1,5025
/5/prob5a/d,0.1,2,4800
/5/prob5a/d,0.5,0,6572
/5/prob5a/d,0.5,1,5025
/5/prob5a/d,0.5,2,4800
/5/prob5a/d,0.25,0,6572
/5/prob5a/d,0.25,1,5025
/5/prob5a/d,0.25,2,4800
/5/prob5a/d,0.75,0,6572
/5/prob5a/d,0.75,1,5025
/5/prob5a/d,0.75,2,4800
/5/prob5a/d,0,0,6572
/5/prob5a/d,0,1,5025
/5/prob5a/d,0,2,4800
/5/prob5a/e,0.1,0,6572
/5/prob5a/e,0.1,1,5025
/5/prob5a/e,0.1,2,4800
/5/prob5a/e,0.5,0,6572
/5/prob5a/e,0.5,1,5025
/5/prob5a/e,0.5,2,4800
/5/prob5a/e,0.25,0,6572
/5/prob5a/e,0.25,1,5025
/5/prob5a/e,0.25,2,4800
/5/prob5a/e,0.75,0,6572
/5/prob5a/e,0.75,1,5025
/5/prob5a/e,0.75,2,4800
/5/prob5a/e,0,0,6572
/5/prob5a/e,0,1,5025
/5/prob5a/e,0,2,4800
/5/prob5b/a,0.1,0,5352
/5/prob5b/a,0.1,1,4086
/5/prob5b/a,0.1,2,3930
/5/prob5b/a,0.5,0,5352
/5/prob5b/a,0.5,1,4086
/5/prob5b/a,0.5,2,3930
/5/prob5b/a,0.25,0,5352
/5/prob5b/a,0.25,1,4086
/5/prob5b/a,0.25,2,3930
/5/prob5b/a,0.75,0,5352
/5/prob5b/a,0.75,1,4086
/5/prob5b/a,0.75,2,3930
/5/prob5b/a,0,0,5352
/5/prob5b/a,0,1,4086
/5/prob5b/a,0,2,3930
/5/prob5b/b,0.1,0,5352
/5/prob5b/b,0.1,1,4086
/5/prob5b/b,0.1,2,3930
/5/prob5b/b,0.5,0,5352
/5/prob5b/b,0.5,1,4086
/5/prob5b/b,0.5,2,3930
/5/prob5b/b,0.25,0,5352
/5/prob5b/b,0.25,1,4086
/5/prob5b/b,0.25,2,3930
/5/prob5b/b,0.75,0,5352
/5/prob5b/b,0.75,1,4086
/5/prob5b/b,0.75,2,3930
/5/prob5b/b,0,0,5352
/5/prob5b/b,0,1,4086
/5/prob5b/b,0,2,3930
/5/prob5b/c,0.1,0,5352
/5/prob5b/c,0.1,1,4086
/5/prob5b/c,0.1,2,3930
/5/prob5b/c,0.5,0,5352
/5/prob5b/c,0.5,1,4086
/5/prob5b/c,0.5,2,3930
/5/prob5b/c,0.25,0,5352
/5/prob5b/c,0.25,1,4086
/5/prob5b/c,0.25,2,3930
/5/prob5b/c,0.75,0,5352
/5/prob5b/c,0.75,1,4086
/5/prob5b/c,0.75,2,3930
/5/prob5b/c,0,0,5352
/5/prob5b/c,0,1,4086
/5/prob5b/c,0,2,3930
/5/prob5b/d,0.1,0,5352
/5/prob5b/d,0.1,1,4086
/5/prob5b/d,0.1,2,3930
/5/prob5b/d,0.5,0,5352
/5/prob5b/d,0.5,1,4086
/5/prob5b/d,0.5,2,3930
/5/prob5b/d,0.25,0,5352
/5/prob5b/d,0.25,1,4086
/5/prob5b/d,0.25,2,3930
/5/prob5b/d,0.75,0,5352
/5/prob5b/d,0.75,1,4086
/5/prob5b/d,0.75,2,3930
/5/prob5b/d,0,0,5352
/5/prob5b/d,0,1,4086
/5/prob5b/d,0,2,3930
/5/prob5b/e,0.1,0,5352
/5/prob5b/e,0.1,1,4086
/5/prob5b/e,0.1,2,3930
/5/prob5b/e,0.5,0,5352
/5/prob5b/e,0.5,1,4086
/5/prob5b/e,0.5,2,3930
/5/prob5b/e,0.25,0,5352
/5/prob5b/e,0.25,1,4086
/5/prob5b/e,0.25,2,3930
/5/prob5b/e,0.75,0,5352
/5/prob5b/e,0.75,1,4086
/5/prob5b/e,0.75,2,3930
/5/prob5b/e,0,0,5352
/5/prob5b/e,0,1,4086
/5/prob5b/e,0,2,3930
/5/prob5c/a,0.1,0,6888
/5/prob5c/a,0.1,1,6129
/5/prob5c/a,0.1,2,6108
/5/prob5c/a,0.5,0,6888
/5/prob5c/a,0.5,1,6129
/5/prob5c/a,0.5,2,6108
/5/prob5c/a,0.25,0,6888
/5/prob5c/a,0.25,1,6129
/5/prob5c/a,0.25,2,6108
/5/prob5c/a,0.75,0,6888
/5/prob5c/a,0.75,1,6129
/5/prob5c/a,0.75,2,6108
/5/prob5c/a,0,0,6888
/5/prob5c/a,0,1,6129
/5/prob5c/a,0,2,6108
/5/prob5c/b,0.1,0,6888
/5/prob5c/b,0.1,1,6129
/5/prob5c/b,0.1,2,6108
/5/prob5c/b,0.5,0,6888
/5/prob5c/b,0.5,1,6129
/5/prob5c/b,0.5,2,6108
/5/prob5c/b,0.25,0,6888
/5/prob5c/b,0.25,1,6129
/5/prob5c/b,0.25,2,6108
/5/prob5c/b,0.75,0,6888
/5/prob5c/b,0.75,1,6129
/5/prob5c/b,0.75,2,6108
/5/prob5c/b,0,0,6888
/5/prob5c/b,0,1,6129
/5/prob5c/b,0,2,6108
/5/prob5c/c,0.1,0,6888
/5/prob5c/c,0.1,1,6129
/5/prob5c/c,0.1,2,6108
/5/prob5c/c,0.5,0,6888
/5/prob5c/c,0.5,1,6129
/5/prob5c/c,0.5,2,6108
/5/prob5c/c,0.25,0,6888
/5/prob5c/c,0.25,1,6129
/5/prob5c/c,0.25,2,6108
/5/prob5c/c,0.75,0,6888
/5/prob5c/c,0.75,1,6129
/5/prob5c/c,0.75,2,6108
/5/prob5c/c,0,0,6888
/5/prob5c/c,0,1,6129
/5/prob5c/c,0,2,6108
/5/prob5c/d,0.1,0,6888
/5/prob5c/d,0.1,1,6129
/5/prob5c/d,0.1,2,6108
/5/prob5c/d,0.5,0,6888
/5/prob5c/d,0.5,1,6129
/5/prob5c/d,0.5,2,6108
/5/prob5c/d,0.25,0,6888
/5/prob5c/d,0.25,1,6129
/5/prob5c/d,0.25,2,6108
/5/prob5c/d,0.75,0,6888
/5/prob5c/d,0.75,1,6129
/5/prob5c/d,0.75,2,6108
/5/prob5c/d,0,0,6888
