Instancia,%Inc,Heuristica,Numero iteracion,Costo de iteracion
/5/prob5a/a,0.1,swap,0,6572
/5/prob5a/a,0.1,3-opt,0,6572
/5/prob5a/a,0.1,3-opt,1,5025
/5/prob5a/a,0.1,swap,0,5025
/5/prob5a/a,0.1,3-opt,0,5025
/5/prob5a/a,0.1,3-opt,1,4800
/5/prob5a/a,0.1,swap,0,4800
/5/prob5a/a,0.1,3-opt,0,4800
/5/prob5a/a,0.1,3-opt,1,4800
/5/prob5a/a,0.1,swap,0,4800
/5/prob5a/a,0.1,3-opt,0,4800
/5/prob5a/a,0.1,3-opt,1,4800
/5/prob5a/a,0.5,swap,0,6572
/5/prob5a/a,0.5,3-opt,0,6572
/5/prob5a/a,0.5,3-opt,1,5025
/5/prob5a/a,0.5,swap,0,5025
/5/prob5a/a,0.5,3-opt,0,5025
/5/prob5a/a,0.5,3-opt,1,4800
/5/prob5a/a,0.5,swap,0,4800
/5/prob5a/a,0.5,3-opt,0,4800
/5/prob5a/a,0.5,3-opt,1,4800
/5/prob5a/a,0.5,swap,0,4800
/5/prob5a/a,0.5,3-opt,0,4800
/5/prob5a/a,0.5,3-opt,1,4800
/5/prob5a/a,0.25,swap,0,6572
/5/prob5a/a,0.25,3-opt,0,6572
/5/prob5a/a,0.25,3-opt,1,5025
/5/prob5a/a,0.25,swap,0,5025
/5/prob5a/a,0.25,3-opt,0,5025
/5/prob5a/a,0.25,3-opt,1,4800
/5/prob5a/a,0.25,swap,0,4800
/5/prob5a/a,0.25,3-opt,0,4800
/5/prob5a/a,0.25,3-opt,1,4800
/5/prob5a/a,0.25,swap,0,4800
/5/prob5a/a,0.25,3-opt,0,4800
/5/prob5a/a,0.25,3-opt,1,4800
/5/prob5a/a,0.75,swap,0,6572
/5/prob5a/a,0.75,3-opt,0,6572
/5/prob5a/a,0.75,3-opt,1,5025
/5/prob5a/a,0.75,swap,0,5025
/5/prob5a/a,0.75,3-opt,0,5025
/5/prob5a/a,0.75,3-opt,1,4800
/5/prob5a/a,0.75,swap,0,4800
/5/prob5a/a,0.75,3-opt,0,4800
/5/prob5a/a,0.75,3-opt,1,4800
/5/prob5a/a,0.75,swap,0,4800
/5/prob5a/a,0.75,3-opt,0,4800
/5/prob5a/a,0.75,3-opt,1,4800
